query,category,match,distance
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1337.obj,0.0
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1338.obj,0.7295502879723543
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1343.obj,0.878725722517953
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m35.obj,1.020997464319852
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01109.obj,1.2548752580409823
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00922.obj,1.4875344566918154
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m52.obj,1.523545796167848
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01050.obj,1.5662601682091801
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1138.obj,1.667949411051827
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00234.obj,1.7750959783336122
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00762.obj,1.780531112437741
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01110.obj,1.9022747235968185
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00442.obj,1.9193286232168054
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00625.obj,2.0238343609276
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00284.obj,2.0711064273896684
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01122.obj,2.255919237905756
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1338.obj,0.0
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1337.obj,0.7295502879723543
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1343.obj,1.2666612196104292
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01109.obj,1.414294305493302
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00922.obj,1.434917402502585
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00442.obj,1.5999030712486275
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m35.obj,1.6679985253837375
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01050.obj,1.692642964150337
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01110.obj,1.708347354364178
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m52.obj,2.038014673496023
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00234.obj,2.1332931122833565
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01009.obj,2.1470678031720825
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00762.obj,2.1654007757384477
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1138.obj,2.1832544497555815
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01030.obj,2.2505686011454444
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00625.obj,2.4284574780733554
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m1339.obj,0.0
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D01146.obj,0.9529139122479845
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D00089.obj,1.6704276613321452
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m28.obj,1.7778713127042973
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D00689.obj,1.8177195114971134
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m1143.obj,1.8983061836946322
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m49.obj,1.9095370096970976
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D01184.obj,1.9112470139039717
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D01182.obj,1.9246611602703034
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D00164.obj,2.134085434042494
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m48.obj,2.2851483492149502
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m1139.obj,2.4556535967423283
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D01078.obj,2.4909477649887335
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m1141.obj,2.5160434343614355
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m40.obj,2.598507378298094
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m34.obj,2.601556879460793
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m1340.obj,0.0
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m39.obj,1.0230991148311497
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,D00999.obj,3.472423265540115
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m1135.obj,3.555155915392432
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,D00736.obj,5.3316893893103074
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m1146.obj,5.7017000993659
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,D00020.obj,5.923874003986261
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m38.obj,7.983707374495149
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m47.obj,10.236956057985743
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m1137.obj,11.604794247265207
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,D00271.obj,12.680165703214987
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m31.obj,12.867873052711959
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,D00166.obj,14.706305174912998
./data_normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,m1136.obj,14.94574807003703
