query_filepath,query_category,match_filepath,match_category,distance
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1337.obj,AircraftBuoyant,0.0
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01109.obj,Bookset,0.881771806328921
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1338.obj,AircraftBuoyant,0.95852516556747
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m393.obj,BuildingNonResidential,1.1624611323307765
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m45.obj,Bird,1.2082608869564302
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m390.obj,BuildingNonResidential,1.2276749626280392
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00045.obj,Apartment,1.306066126477352
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1343.obj,AircraftBuoyant,1.5746158356344875
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m63.obj,AquaticAnimal,1.6092265946266024
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00478.obj,Apartment,1.7832825957671534
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m405.obj,BuildingNonResidential,1.8052008763396983
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00860.obj,Apartment,1.8777287489638734
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1121.obj,Biplane,1.9350873367963084
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m413.obj,BuildingNonResidential,2.0581333715786707
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m37.obj,Bird,2.0928685065908685
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m394.obj,BuildingNonResidential,2.145545679393218
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1338.obj,AircraftBuoyant,0.0
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m383.obj,BuildingNonResidential,0.5495826845456193
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1343.obj,AircraftBuoyant,0.9405984753407634
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1337.obj,AircraftBuoyant,0.9585251655674697
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1138.obj,Biplane,1.0364988781605307
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m390.obj,BuildingNonResidential,1.225719110828118
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1123.obj,Biplane,1.2339698163325339
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m37.obj,Bird,1.239155555649583
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m63.obj,AquaticAnimal,1.2877359879063768
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1121.obj,Biplane,1.3275185634669027
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m52.obj,Bird,1.3286639109405138
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m393.obj,BuildingNonResidential,1.358968795337638
