query_filepath,query_category,match_filepath,match_category,distance
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1337.obj,AircraftBuoyant,1.1102230246251565e-16
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1338.obj,AircraftBuoyant,0.013424370314826017
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1343.obj,AircraftBuoyant,0.016934342342147635
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00601.obj,Biplane,0.0306862180862425
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00836.obj,Bed,0.03517193436573962
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00442.obj,Bird,0.03612041090360363
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m35.obj,Bird,0.036990700956337164
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00113.obj,Bird,0.04508259537444048
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00164.obj,Bird,0.04792870921047454
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01038.obj,Bookset,0.04814520144172618
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01110.obj,Bookset,0.05304158686225202
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01050.obj,Bookset,0.057046953081748675
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01109.obj,Bookset,0.0586472637984492
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m52.obj,Bird,0.06679917536950308
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01190.obj,Bookset,0.0681961677240378
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00762.obj,Bird,0.0745858795297285
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1338.obj,AircraftBuoyant,0.0
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1337.obj,AircraftBuoyant,0.013424370314826017
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00601.obj,Biplane,0.01997589594868665
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00113.obj,Bird,0.025674060425748713
